,ticker,Begin Date,End Date,ARY_start,ARY_end,ARY_count,ARY_exp_count,MRY_start,MRY_end,MRY_count,MRY_exp_count,ARQ_start,ARQ_end,ARQ_count,ARQ_exp_count,MRQ_start,MRQ_end,MRQ_count,MRQ_exp_count,ART_start,ART_end,ART_count,ART_exp_count,MRT_start,MRT_end,MRT_count,MRT_exp_count,1998_Missing,1999_Missing,2000_Missing,2001_Missing,2002_Missing,2003_Missing,2004_Missing,2005_Missing,2006Missing,2007_Missing,2008_Missing,2009_Missing,2011_Missing,2012_Missing,2013_Missing,2014_Missing,2015_Missing,2016_Missing,2017_Missing,2018_Missing,2019_Missing,2020_Missing,2006_Missing,2010_Missing
39,AJG,1998-03-31,2020-12-31,1998-12-31,2020-12-31,24.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
40,AKAM,1998-12-31,2020-12-31,1999-12-31,2020-12-31,22.0,,1998-12-31,2020-12-31,23.0,,1999-12-31,2020-12-31,86.0,,1998-12-31,2020-12-31,89.0,,1999-12-31,2020-12-31,86.0,,1998-12-31,2020-12-31,89.0,,_Q2_Q3,,,,,,,,,,,,,,,,,,,,,,,
41,AKS,1998-03-31,2019-12-31,1998-12-31,2019-12-31,22.0,,1998-12-31,2019-12-31,22.0,,1998-03-31,2019-12-31,88.0,,1998-03-31,2019-12-31,88.0,,1998-03-31,2019-12-31,88.0,,1998-03-31,2019-12-31,88.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,AL1,1998-03-31,2007-09-30,1998-12-31,2006-12-31,9.0,,1998-12-31,2006-12-31,9.0,,1998-03-31,2007-09-30,39.0,,1998-03-31,2007-09-30,39.0,,1998-03-31,2007-09-30,39.0,,1998-03-31,2007-09-30,39.0,,,,,,,,,,,_FY_Q4,,,,,,,,,,,,,,
43,ALB,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,ALGN,1998-12-31,2020-12-31,2000-12-31,2020-12-31,22.0,,1998-12-31,2020-12-31,23.0,,2000-09-30,2020-12-31,83.0,,1998-12-31,2020-12-31,87.0,,2000-09-30,2020-12-31,83.0,,1998-12-31,2020-12-31,87.0,,_Q2_Q3,_Q2,,,,,,,,,,,,,,,,,,,,,,
45,ALK,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,93.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,93.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,ALL,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,ALLE,2010-12-31,2020-12-31,2012-12-31,2020-12-31,13.0,,2010-12-31,2020-12-31,11.0,,2012-12-31,2020-12-31,34.0,,2011-12-31,2020-12-31,34.0,,2012-12-31,2020-12-31,34.0,,2010-12-31,2020-12-31,35.0,,,,,,,,,,,,,,_Q2_Q3,_Q2_Q3,,,,,,,,,,_Q2_Q3
48,ALTR1,1998-03-31,2015-09-30,1998-12-31,2014-12-31,17.0,,1998-12-31,2014-12-31,17.0,,1998-03-31,2015-09-30,70.0,,1998-03-31,2015-09-30,71.0,,1998-03-31,2015-09-30,70.0,,1998-03-31,2015-09-30,71.0,,,,,,,,,,,,,,,,,,_FY_Q4,,,,,,,
49,ALXN,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
50,AM1,1998-03-31,2013-12-31,1998-12-31,2013-12-31,16.0,,1998-12-31,2013-12-31,16.0,,1998-03-31,2013-06-30,63.0,,1998-03-31,2013-06-30,62.0,,1998-03-31,2013-06-30,63.0,,1998-03-31,2013-06-30,62.0,,,,,,,,,,,,,,,,_Q3_Q4,,,,,,,,,
51,AMAT,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,93.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,93.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
52,AMCC,1998-03-31,2016-12-31,1998-12-31,2016-12-31,18.0,,1998-12-31,2016-12-31,19.0,,1998-03-31,2016-09-30,74.0,,1998-03-31,2016-09-30,75.0,,1998-03-31,2016-09-30,74.0,,1998-03-31,2016-09-30,75.0,,,,,,,,,,,,,,,,,,,_Q4,,,,,,
